"","PK","CCR","HIERARCHY","INCIDENTTIME","INCIDENTLOCATION","CLEAREDFLAG","INCIDENTNEIGHBORHOOD","INCIDENTZONE","INCIDENTHIERARCHYDESC","OFFENSES","INCIDENTTRACT","COUNCIL_DISTRICT","PUBLIC_WORKS_DIVISION","X","Y"
"1",2943208,17180258,6,"2017-09-19T15:45:00","Overlook DR Pittsburgh, PA 15207","N","Squirrel Hill South","4","THEFT FROM AUTO","3934 Theft from Vehicle",1413,NA,NA,0,0
"2",2910185,17075987,99,"2017-04-27T00:30:00","300 Block N Craig ST Pittsburgh, PA 15213","N","North Oakland","4",NA,"9504 Lost Property",507,8,3,-79.9493872433643,40.4455906511163
"3",2926880,17124948,7,"2017-07-05T10:00:00","400 Block Belonda ST Pittsburgh, PA 15211","N","Mount Washington","3","MTR VEH THEFT (AUTO)","3921(a) Theft by Unlawful Taking or Disposition - Movable item",1914,2,5,-80.0126573040291,40.4292335457055
"4",2877494,16224843,18,"2016-12-01T20:09:00","6400 Block Apple AV Pittsburgh, PA 15206","Y","Lincoln-Lemington-Belmar","5","MARIJUANA-POSSESS","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount",1203,9,2,-79.90639102,40.46855137
"5",2936578,17158676,99,"2017-08-21T01:24:00","2200 Block Brownsville RD Pittsburgh, PA 15210","Y","Carrick","3",NA,"9998 Overdose Other",2902,4,4,-79.986909728912,40.3911771027252
"6",2947786,17189115,10,"2017-10-01T15:10:00","10 Block Grape ST Pittsburgh, PA 15210","N","Knoxville","3","TERRORISTIC THREATS","2706 Terroristic Threats.",3001,3,4,-79.9891213044724,40.4140262280517
"7",2985953,18056599,99,"2018-03-27T14:10:00","5300 Block Camelia ST Pittsburgh, PA 15201","Y","Upper Lawrenceville","2",NA,"9497 Aided Case",1011,7,2,-79.94729614,40.47851264
"8",2096853,5071109,10,"2005-04-28T20:00:00","2000 Block WHARTON ST PITTSBURGH, PA ","N","South Side Flats","3","HARRASSMENT/THREAT/ATTEMPT/PHY","5503 Disorderly Conduct. / 2709 Harassment (Non-Specific)",1702,3,4,-79.97681333,40.43002082
"9",2952726,17207284,99,"2017-10-26T18:56:00","300 Block N Braddock AV Pittsburgh, PA 15208","Y","Point Breeze North","4",NA,"9497 Aided Case",1405,9,2,-79.8927981107979,40.4496466570257
"10",2916308,17096236,26,"2017-05-26T18:10:00","200 Block Wynoka ST Pittsburgh, PA 15210","Y","Carrick","3","FALSE RPT LAW ENFORCE AUTH","13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities",2902,4,4,-79.9861453681887,40.4051421614329
