"PK","CCR","HIERARCHY","INCIDENTTIME","INCIDENTLOCATION","CLEAREDFLAG","INCIDENTNEIGHBORHOOD","INCIDENTZONE","INCIDENTHIERARCHYDESC","OFFENSES","INCIDENTTRACT","COUNCIL_DISTRICT","PUBLIC_WORKS_DIVISION","X","Y"
2993018,18077068,18,"2018-04-26T06:00:00","1200 Block Paulson AV Pittsburgh, PA 15206","Y","Lincoln-Lemington-Belmar","5","OPIUM/COCAINE/DERV(SALE/MFG)","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession",1203,9,2,-79.90323672,40.46792725
2946954,17159636,18,"2017-08-18T17:58:00","Eureka ST & Craighead ST Pittsburgh, PA 15211","Y","Mount Washington","3","MARIJUANA-POSSESS","1301 Registration and Certificate of Title Required. / 3301 Driving on Right Side of Roadway. / 4703 Operation of Vehicle without Official Certif. of Inspection / 4706 Prohib. on Expend. for Emission Insp Prog.. / 13(a)(19) Purchase from Unauthorized Seller / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 13(a)(31) Marijuana: Possession Small Amount / 4914 False Identification to Law Enforcement Authorities",1807,3,4,-79.9985232062709,40.4237341792484
2922566,17118899,99,"2017-06-27T15:40:00","3800 Block Beechwood BL Pittsburgh, PA 15217","Y","Greenfield","4",NA,"9999 Miscellaneous Report (No Crime)",1517,5,3,-79.9301062472455,40.428308221658
3006208,18121165,99,"2018-06-25T10:55:00","2700 Block Banksville AV Pittsburgh, PA 15216","Y","Banksville","6",NA,"9497 Aided Case",2023,2,5,-80.03847373,40.40583675
2931133,17140909,5,"2017-07-22T19:00:00","500 Block Griffin ST Pittsburgh, PA 15211","N","Mount Washington","3","BURGLARY/FORCE ENT/RES","3502 Burglary.",1915,2,5,-80.0108483178676,40.4231887056097
3011150,18131642,99,"2018-07-11T00:01:00","4600 Block 5th AV Pittsburgh, PA 15213","N","North Oakland","4",NA,"9999 Miscellaneous Report (No Crime)",404,8,3,-79.94866208,40.44665893
3008373,18123282,10,"2018-06-28T09:00:00","300 Block wood ST Pittsburgh, PA 15222","N","Central Business District","2","HARRASSMENT/THREAT/ATTEMPT/PHY","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,6,6,-80.00125391,40.43892585
2976876,18028865,99,"2018-02-05T15:00:00","UNKNOWN MONROEVILLE, PA ","Y","Outside City","OSC",NA,"9094 Recovered Stolen Vehicle (OUTSIDE CITY)",5599,NA,NA,0,0
2984608,18052186,99,"2018-03-21T00:08:00","30 Block Millbridge ST Pittsburgh, PA 15210","Y","Allentown","3",NA,"9496 Dead on Arrival (DOA)",1803,3,5,-79.99605443,40.42330071
2922103,17101821,99,"2017-06-03T18:30:00","100 Block 43rd ST Pittsburgh, PA 15201","Y","Central Lawrenceville","2",NA,"9496 Dead on Arrival (DOA)",901,7,2,-79.9639201912602,40.4728663901317
3093041,19137197,99,"2019-07-12T12:59:00","500 Block Lincoln AV Pittsburgh, PA 15206","Y","Larimer","5",NA,"9497 Aided Case",1204,9,2,-79.9097548380336,40.4610662679211
3092085,19137959,6,"2019-07-13T02:00:00","Centre AV","N","Shadyside","4","THEFT/PROP-LOST/MISLAID/DEL","3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud",705,NA,NA,-80.0058017992803,40.578951156752
2818882,16053577,99,"2016-03-25T17:05:00","Fern WY & Climax ST Pittsburgh, PA 15210","Y","Allentown","3",NA,"9999 Miscellaneous Report (No Crime)",1803,3,4,-79.99625366,40.41993888
3046654,18243319,6,"2018-11-14T00:01:00","6600 Block Apple AV Pittsburgh, PA 15206","N","Lincoln-Lemington-Belmar","5","THEFT/ALL OTHERS","4106 Access Device Fraud",1203,9,2,-79.903218797417,40.4664603004074
3098480,19158466,6,"2019-08-10T10:30:00","2800 Block Perrysville AV Pittsburgh, PA 15214","N","Perry South","1","THEFT/ALL OTHERS","3921(a) Theft by Unlawful Taking or Disposition - Movable item",2615,1,1,-80.0103860871795,40.473982801764
2988308,18061177,99,"2018-04-03T10:13:00","3500 Block Middletown RD Pittsburgh, PA 15204","Y","Windgap","6",NA,"9497 Aided Case",2807,2,5,-80.07252912,40.45537013
2901641,17052995,3,"2017-03-24T18:05:00","Beacon ST & Murray AV Pittsburgh, PA 15217","N","Squirrel Hill South","4","ROBBERY/PURSE SNATCH/STRONGARM","3701 Robbery.",1408,5,3,-79.9228329897161,40.4347537887954
2086241,5029215,15,"2005-02-26T02:42:00","PUTMAN ST & FRANKSTOWN AV PITTSBURGH, PA ","Y","Larimer","5","FIREARMS NOT TO BE CARRIED WO LICENSE","6106 Firearms not to be Carried without a License. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4303 General Lighting Requirements.",1208,9,2,-79.91237765,40.45994714
2922906,17117496,10,"2017-06-25T10:27:00","1500 Block Kenberma AV Pittsburgh, PA 15216","Y","Beechview","6","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1916,4,5,-80.0220014790851,40.4118531378109
3047564,18246198,99,"2018-12-15T13:30:00","90 Block Wyoming ST Pittsburgh, PA 15211","N","Mount Washington","3",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1914,2,5,-80.0065953061199,40.4277408774628
3005951,18118815,24,"2018-06-21T00:01:00","5200 Block Centre AV Pittsburgh, PA 15224","N","Shadyside","4","HARRASSMENT BY COMUN/ADDRESS","2709 Harassment (Non-Specific)",709,8,2,-79.94092261,40.45452323
3035281,18212009,99,"2018-10-25T21:30:00","500 Block Mt Pleasant RD Pittsburgh, PA 15214","N","Northview Heights","1",NA,"3301 Arson ",2609,NA,NA,0,0
2812412,16030557,18,"2016-02-19T16:07:00","5200 Block Dyke ST Pittsburgh, PA 15207","Y","Hazelwood","4","OPIUM/COCAINE/DERV-POSSESS","13(a)(16) Possession of Controlled Substance",1515,5,3,-79.94357404,40.40555388
2859609,16175356,26,"2016-09-16T12:00:00","100 Block Kirk AV Pittsburgh, PA 15210","Y","Carrick","3","HARRASSMENT-OTHER","2709(a)(3) Harassment No Legitimate Purpose",2904,4,4,-79.97825424,40.38589174
2911960,17083792,99,"2017-05-07T09:00:00","Zone 5","N","","5",NA,"3124.1 Sexual Assault",NA,NA,NA,NA,NA
3049911,18255994,3,"2018-12-31T09:50:00","5300 Block Broad ST Pittsburgh, PA 15224","N","Garfield","5","ROBBERY/RESIDENCE/GUN","903 Criminal Conspiracy. / 2702 Aggravated Assault. / 3502 Burglary. / 3701 Robbery.",1017,9,2,-79.9382301957338,40.4658706888707
3021754,18167971,6,"2018-07-29T00:01:00","7100 Block Mc Pherson BL Pittsburgh, PA 15208","N","Point Breeze North","4","THEFT FROM AUTO","3934 Theft from Vehicle",1405,9,2,-79.90165784,40.45253029
3095113,19148434,99,"2019-07-28T09:00:00","400 Block S Graham ST Pittsburgh, PA 15232","N","Friendship","5",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",807,7,2,-79.9370554394836,40.4593249119548
3071807,19070874,9,"2019-04-16T22:08:00","20 Block Meritt AV Pittsburgh, PA 15227","Y","Carrick","3","TAMPER WITH/FAB PHYS EVIDENCE","2701 Simple Assault. / 4910 Tampering with or Fabricating Physical Evidence. / 5121 Escape. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession",2904,4,3,-79.9783443924891,40.3838950826666
2836923,16104530,6,"2016-06-02T23:30:00","GATEWAY TOWERS PARK Pittsburgh, PA 15222","N","Golden Triangle/Civic Arena","2","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",201,NA,NA,0,0
2921244,17111596,7,"2017-06-17T03:30:00","300 Block E North AV Pittsburgh, PA 15212","N","Allegheny Center","1","MTR VEH THEFT (AUTO)","3921 Theft by Unlawful Taking or Disposition.",2204,1,1,-80.0096402728326,40.4549486918507
2991089,18072508,26,"2018-04-19T15:30:00","8300 Block Nimick PL Pittsburgh, PA 15221","N","East Hills","5","SCATTERING RUBBISH","6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",1306,9,2,-79.8796284,40.45056526
2897460,17037525,6,"2017-03-01T08:45:00","20 Block Cedricton ST Pittsburgh, PA 15210","N","Carrick","3","THEFT FROM AUTO","3934 Theft from Vehicle",2901,4,4,-79.9919127943472,40.4051530887013
2842244,16120915,14,"2016-06-29T20:00:00","70 Block Reed ST Pittsburgh, PA 15219","N","Crawford-Roberts","2","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",305,6,3,-79.98205683,40.44074118
3051828,19004353,7,"2019-01-07T03:30:00","5100 Block Hillcrest ST Pittsburgh, PA 15224","Y","Garfield","5","MTR VEH THEFT (AUTO)","3921 Theft by Unlawful Taking or Disposition.",1016,9,2,-79.9418821790229,40.4685056152456
2873339,16216303,99,"2016-11-17T07:25:00","Methyl ST & Wentworth AV Pittsburgh, PA 15216","N","Beechview","6",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",1916,4,5,-80.02595733,40.41630403
2926705,17127313,14,"2017-07-08T14:30:00","1600 Block Swan WY Pittsburgh, PA 15206","N","Morningside","5","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",1014,7,2,-79.9275047791041,40.4846654804078
3006365,18122454,99,"2018-06-27T15:40:00","1200 Block Dickens ST Pittsburgh, PA 15220","Y","Crafton Heights","6",NA,"9999 Miscellaneous Report (No Crime)",2814,2,5,-80.04636351,40.44555195
3098976,19161704,99,"2019-08-14T17:21:00","7200 Block Lake DR Pittsburgh, PA 15206","Y","Highland Park","5",NA,"9497 Aided Case",1106,7,2,-79.9104271603853,40.4824326016023
2112592,5140721,6,"2005-07-24T21:30:00","100 Block OAKLAND AV PITTSBURGH, PA ","N","Central Oakland","4","THEFT FROM AUTO","3304 Criminal Mischief. / 3934 Theft from Vehicle",405,3,3,-79.95784038,40.44214986
2864249,16191057,6,"2016-10-09T11:30:00","100 Block Mt Royal RD Pittsburgh, PA 15217","N","Squirrel Hill South","4","THEFT FROM AUTO","3934 Theft from Vehicle",1408,5,3,-79.91427492,40.42880384
2911944,17082730,10,"2017-05-06T22:10:00","General Robinson ST & Tony Dorsett DR Pittsburgh, PA 15212","Y","North Shore","1","HARRASSMENT/THREAT/ATTEMPT/PHY","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2205,1,6,-80.0103028686986,40.4472715422532
2803877,16008604,11,"2016-01-15T01:15:00","100 Block Oakland AV Pittsburgh, PA 15213","N","Central Oakland","4","THEFT OF SERVICES","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",405,3,3,-79.95784038,40.44214986
2135536,5231652,11,"2005-11-22T00:01:00","5500 Block HAMPTON ST PITTSBURGH, PA ","N","Outside City","5","IDENTITY THEFT","4120 Identity Theft",1101,7,2,-79.92707732,40.47620615
2979567,18037043,4,"2018-02-26T03:50:00","400 Block Lorenz AV Pittsburgh, PA 15220","N","Elliott","6","AGG ASSAULT/OTHER/INJURY","2702 Aggravated Assault.",2020,2,5,-80.03715883,40.44651309
2984201,18049302,99,"2018-03-16T19:11:00","Bigelow BL & Herron AV Pittsburgh, PA 15219","N","Strip District","2",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",203,7,6,-79.96593987,40.45576815
2839637,16113128,6,"2016-06-18T23:30:00","700 Block Bellefonte ST Pittsburgh, PA 15232","N","Shadyside","4","THEFT FROM AUTO","3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",703,8,2,-79.93477812,40.45224989
3039279,18220844,99,"2018-11-01T22:30:00","1500 Block E Carson ST Pittsburgh, PA 15203","Y","South Side Flats","3",NA,"9504 Lost Property",1702,3,3,-79.98331002,40.4286928
3043212,18228697,9,"2018-11-20T09:05:00","2200 Block Noblestown RD Pittsburgh, PA 15205","N","Strip District","6","FORGERY/COUNTERFEITING/OTHER","3922 Theft by Deception.",203,2,5,-80.0539118407942,40.430080439973
3037811,18216367,14,"2018-11-01T06:30:00","90 Block Wyoming ST Pittsburgh, PA 15211","N","Mount Washington","3","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",1914,2,5,-80.00659531,40.42774088
2078194,5002121,18,"2005-01-04T20:47:00","2900 Block BEDFORD AV PITTSBURGH, PA ","Y","Carrick","2","MARIJUANA-POSSESS","13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount",508,6,3,-79.96734864,40.4525547
2874594,16221014,24,"2016-11-25T02:17:00","30 Block Rosselle DR Pittsburgh, PA 15207","Y","Glen Hazel","4","HARRASSMENT BY COMUN/ADDRESS","2709(a) Harassment.",1504,5,3,-79.93203281,40.40697673
2081313,5012943,17,"2005-01-24T15:15:00","Zone 3","N","","3","INDECENT ASSAULT","3126 Indecent Assault.",NA,NA,NA,NA,NA
2963952,17239437,99,"2017-12-12T23:25:00","1500 Block Rockland AV Pittsburgh, PA 15216","N","Beechview","6",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1916,4,5,-80.0203644957182,40.4120302343215
3022126,18169552,10,"2018-08-31T12:50:00","5800 Block Northumberland ST Pittsburgh, PA 15217","N","Squirrel Hill North","4","TERRORISTIC THREATS","2709(a)(4) Harassment Communicates Prohibited Acts",1403,8,3,-79.92333664,40.441423
